customer_id,first_name,last_name,date_of_birth,address,phone_number
54000000,Lao,Curry,1971-10-25,1000Alfred Deakin Ally,(785) 685-3985
54000001,Cardinal,Lingenfelter,1971-05-04,1001Andrew Fisher Arc,(588) 188-8588
54000002,Mark,Parent,1971-08-15,1002Ben Chifley Ave,(447) 647-1847
54000003,Liggett,Galbraith,1971-10-21,1003Ben Chifley Bvd,(713) 513-9313
54000004,Lafferty,Lacasse,1971-03-06,1004Billy Hughes Bypa,(454) 554-7254
54000005,Vanmeter,Mohler,1971-05-20,1005Bob Hawke Cct,(504) 204-1904
54000006,Catania,Burgett,1971-03-14,1006Chris Watson Cds,(634) 534-4434
54000007,Groce,Llewellyn,1971-11-22,1007Edmund Barton Cl,(606) 206-8606
54000008,Hudgens,Cline,1971-11-10,1008Edward VII Cres,(378) 278-5978
54000009,Nair,Starling,1971-05-20,1009George III Crn,(348) 148-1748
54000010,Harry,Mclendon,1971-02-05,1010George VI Dr,(369) 469-6569
54000011,Fabian,Newbold,1971-02-05,1011Gough Whitlam Esp,(273) 273-3473
54000012,Mulligan,Ramage,1971-02-05,1012John Curtin Gr,(717) 217-9317
54000013,Egger,Garr,1971-04-19,1013John Howard Grn,(263) 763-8263
54000014,Corum,Moorhead,1971-07-02,1014Joseph Lyons Hwy,(362) 662-6562
54000015,Gamble,Weiler,1971-11-02,1015Paul Keating Jnc,(234) 634-8234
54000016,Sunday,Yun,1971-09-01,1016Queen Elizabeth II Lane,(592) 492-5592
54000017,Alba,Damon,1971-07-14,1017Robert Menzies Link,(662) 562-3262
54000018,Menjivar,Ogletree,1971-02-01,1018Stanley Bruce Mews,(596) 296-5596
54000019,Finnegan,Gigliotti,1971-06-05,1019Victoria Pde,(589) 189-6189
54000020,Khalil,Gorton,1971-09-16,1020William IV Pl,(376) 676-5376
54000021,Rudisill,Acord,1971-09-20,1021Alfred Deakin Rd,(532) 232-1332
54000022,Akers,Cedillo,1971-11-18,1022Andrew Fisher Rdge,(510) 510-1310
54000023,Berge,Barclay,1971-12-03,1023Ben Chifley Sq,(499) 299-9099
54000024,Moran,Music,1971-03-18,1024Ben Chifley St,(274) 174-7674
54000025,Solano,Hendrick,1971-12-23,1025Billy Hughes Tce,(559) 459-4959
54000026,Rosenberger,Trinidad,1971-11-06,1026Bob Hawke Ally,(498) 498-7298
54000027,Tapia,Dinkins,1971-06-21,1027Chris Watson Arc,(553) 653-9153
54000028,Richie,Appleby,1971-10-05,1028Edmund Barton Ave,(437) 637-8437
54000029,Will,Roney,1971-03-02,1029Edward VII Bvd,(502) 102-4302
54000030,Demers,Ruble,1971-02-05,1030George III Bypa,(405) 105-1205
54000031,Derrick,Masi,1971-11-06,1031George VI Cct,(654) 554-6854
54000032,Lockhart,Tolentino,1971-02-16,1032Gough Whitlam Cds,(200) 200-5800
54000033,Osborn,Rizo,1971-11-10,1033John Curtin Cl,(606) 306-8006
54000034,Heck,Perrotta,1971-12-11,1034John Howard Cres,(763) 363-3363
54000035,Oxley,Willhite,1971-04-03,1035Joseph Lyons Crn,(755) 355-6955
